#  Number of backbone atoms:500.0, calc_distances:True, lavg :1.5413478552416318
#  iFrame          Time(ps)     <Ree^2>/nl^2     6.0*<Rg^2>/nl^2      Cn_formula
#===============================================================================
       662        662.000         2.37         7.52          0.00
       663        663.000         1.54         7.24          0.00
       664        664.000         1.82         4.94          0.00
       665        665.000         3.17         5.40          0.00
       666        666.000         8.23         6.03          0.00
       667        667.000        18.23        14.66          0.00
       668        668.000         2.64         7.91          0.00
       669        669.000         9.84         5.70          0.00
       670        670.000         8.70         5.92          0.00
       671        671.000         2.23         7.43          0.00
       672        672.000        15.18         7.22          0.00
       673        673.000        13.02         8.85          0.00
       674        674.000         6.92         7.46          0.00
       675        675.000         1.89         4.04          0.00
       676        676.000         5.70         4.86          0.00
       677        677.000        22.21        17.40          0.00
       678        678.000         7.58        12.15          0.00
       679        679.000         3.92         4.60          0.00
       680        680.000        14.54        11.67          0.00
       681        681.000         6.92         8.06          0.00
       682        682.000        18.61        22.14          0.00
       683        683.000         3.66         6.23          0.00
       684        684.000         8.63         4.98          0.00
       685        685.000         9.42         6.17          0.00
       686        686.000         7.16        13.28          0.00
       687        687.000         1.41         4.11          0.00
       688        688.000        10.23         7.22          0.00
       689        689.000        13.64        10.28          0.00
       690        690.000         6.01         8.22          0.00
       691        691.000         4.63         5.77          0.00
       692        692.000         3.84         4.92          0.00
       693        693.000         3.97         4.69          0.00
       694        694.000        23.09        19.58          0.00
       695        695.000         0.81         2.59          0.00
       696        696.000        14.32         8.54          0.00
       697        697.000         0.69         9.03          0.00
       698        698.000         7.40         5.73          0.00
       699        699.000         4.20         9.19          0.00
       700        700.000        24.22        14.53          0.00
       701        701.000         4.87         4.57          0.00
       702        702.000         9.98        12.83          0.00
       703        703.000        11.54         6.31          0.00
       704        704.000         5.31         4.81          0.00
       705        705.000        13.17        19.72          0.00
