#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
       608        608.000      2917.41         0.00        4.858
       609        609.000       918.17         0.00        1.529
       610        610.000      1341.18         0.00        2.233
       611        611.000      1484.73         0.00        2.472
       612        612.000      2368.30         0.00        3.944
       613        613.000      1934.01         0.00        3.221
       614        614.000       959.54         0.00        1.598
       615        615.000      1083.59         0.00        1.804
       616        616.000      3181.57         0.00        5.298
       617        617.000      1066.26         0.00        1.776
       618        618.000      3073.21         0.00        5.118
       619        619.000       441.50         0.00        0.735
       620        620.000       630.26         0.00        1.050
       621        621.000      3057.27         0.00        5.091
       622        622.000       577.94         0.00        0.962
       623        623.000      1686.28         0.00        2.808
       624        624.000      1763.95         0.00        2.937
       625        625.000      2138.14         0.00        3.561
       626        626.000      1338.49         0.00        2.229
       627        627.000      1655.22         0.00        2.756
       628        628.000      1271.97         0.00        2.118
       629        629.000      1203.99         0.00        2.005
       630        630.000      1847.29         0.00        3.076
       631        631.000      2227.31         0.00        3.709
       632        632.000      1061.16         0.00        1.767
       633        633.000      1133.34         0.00        1.887
       634        634.000      2675.38         0.00        4.455
       635        635.000      1520.12         0.00        2.531
       636        636.000      2457.75         0.00        4.093
       637        637.000       949.93         0.00        1.582
       638        638.000      2373.73         0.00        3.953
       639        639.000       972.27         0.00        1.619
       640        640.000      1354.46         0.00        2.256
       641        641.000       813.21         0.00        1.354
       642        642.000      2204.84         0.00        3.672
       643        643.000      2114.60         0.00        3.521
       644        644.000      1376.26         0.00        2.292
       645        645.000      2208.21         0.00        3.677
       646        646.000      2585.81         0.00        4.306
       647        647.000      1130.11         0.00        1.882
       648        648.000      2937.03         0.00        4.891
       649        649.000       767.79         0.00        1.279
       650        650.000       558.20         0.00        0.930
       651        651.000       737.53         0.00        1.228
       652        652.000      2637.51         0.00        4.392
       653        653.000      2102.87         0.00        3.502
       654        654.000      1161.26         0.00        1.934
       655        655.000      6343.35         0.00       10.563
       656        656.000      2597.17         0.00        4.325
       657        657.000      1574.62         0.00        2.622
       658        658.000      1110.73         0.00        1.850
       659        659.000      1204.24         0.00        2.005
       660        660.000      2220.32         0.00        3.697
       661        661.000      1339.73         0.00        2.231
       662        662.000      1488.69         0.00        2.479
       663        663.000      1429.67         0.00        2.381
       664        664.000       976.79         0.00        1.627
       665        665.000      1068.27         0.00        1.779
       666        666.000      1188.91         0.00        1.980
       667        667.000      2899.96         0.00        4.829
       668        668.000      1558.52         0.00        2.595
       669        669.000      1127.61         0.00        1.878
       670        670.000      1170.02         0.00        1.948
       671        671.000      1466.94         0.00        2.443
       672        672.000      1425.93         0.00        2.375
       673        673.000      1747.96         0.00        2.911
       674        674.000      1472.88         0.00        2.453
       675        675.000       796.15         0.00        1.326
       676        676.000       960.00         0.00        1.599
       677        677.000      3439.02         0.00        5.727
       678        678.000      2401.41         0.00        3.999
       679        679.000       912.20         0.00        1.519
       680        680.000      2308.15         0.00        3.844
       681        681.000      1595.62         0.00        2.657
       682        682.000      4394.37         0.00        7.318
       683        683.000      1230.49         0.00        2.049
       684        684.000       982.55         0.00        1.636
       685        685.000      1216.94         0.00        2.027
       686        686.000      2626.69         0.00        4.374
