 Time Step CPU E_bond E_angle E_dihed E_impro E_pair E_vdwl E_coul E_long E_tail PotEng Temp Press Lx Ly Lz Density
880.000000 880.000000 880000.000000 2168.098100 26814.931322 42536.100448 10259.863381 0.000000 -6792.298487 -10775.624642 14695.298769 -10711.972614 -1137.999466 72818.595408 502.095340 497.469222 5.111563 5.111563 5.111563 712.549520
890.000000 890.000000 890000.000000 2192.888200 26823.722742 42703.774248 10408.384502 0.000000 -7272.476921 -11117.336943 14556.715484 -10711.855462 -1159.092097 72663.402480 500.513510 499.921125 5.080367 5.080367 5.080367 725.756510
900.000000 900.000000 900000.000000 2217.485500 26653.096712 43024.218440 10321.739720 0.000000 -6658.347309 -10784.868354 14838.977329 -10712.456284 -1132.524325 73340.708400 497.533200 -1182.070014 5.119787 5.119787 5.119787 709.121310
910.000000 910.000000 910000.000000 2242.211000 26764.757630 42401.028376 10044.047222 0.000000 -6981.791010 -11048.421861 14778.567063 -10711.936213 -1148.669628 72228.040544 501.150950 1255.293843 5.095686 5.095686 5.095686 719.230580
920.000000 920.000000 920000.000000 2267.278000 27325.089370 41394.728260 10155.890562 0.000000 -6791.363363 -10777.922914 14699.147212 -10712.587243 -1145.078333 72084.345248 502.612000 -246.207297 5.101008 5.101008 5.101008 716.981900
930.000000 930.000000 930000.000000 2292.007700 26637.786619 42853.724624 10187.290646 0.000000 -7159.252023 -11161.316222 14714.802903 -10712.738704 -1160.968454 72519.548192 501.811330 163.643209 5.077629 5.077629 5.077629 726.931380
940.000000 940.000000 940000.000000 2316.868400 27033.546158 42202.715144 10332.739456 0.000000 -7073.907628 -10839.061195 14477.285173 -10712.131187 -1152.961240 72495.092712 500.420300 88.512987 5.089356 5.089356 5.089356 721.917720
950.000000 950.000000 950000.000000 2341.628800 26891.350408 42215.367560 10076.110469 0.000000 -6806.479318 -10723.762707 14629.717916 -10712.434527 -1144.792231 72376.350792 500.672030 135.740715 5.101433 5.101433 5.101433 716.802770
960.000000 960.000000 960000.000000 2366.659800 26195.745346 42467.022608 10066.485595 0.000000 -7256.243001 -11262.410867 14718.357630 -10712.189763 -1150.730708 71473.012640 503.956670 -20.778649 5.092642 5.092642 5.092642 720.521100
970.000000 970.000000 970000.000000 2391.611000 27194.199206 41541.937698 10196.865730 0.000000 -6824.474284 -10726.083990 14613.726668 -10712.116543 -1140.197112 72108.528768 498.371130 230.863642 5.108277 5.108277 5.108277 713.925560
980.000000 980.000000 980000.000000 2416.392700 26969.871954 42426.475464 10116.907398 0.000000 -7018.728618 -10926.918919 14619.934887 -10711.744586 -1144.923232 72494.527872 502.407510 -1694.690313 5.101238 5.101238 5.101238 716.884780
990.000000 990.000000 990000.000000 2441.384400 26912.698850 41545.660621 10055.702590 0.000000 -6450.634302 -10487.775902 14748.888696 -10711.747096 -1130.743322 72063.429432 505.510620 -209.177225 5.122474 5.122474 5.122474 708.006160
1000.000000 1000.000000 1000000.000000 2466.389200 26674.800375 42732.409544 10301.141051 0.000000 -6981.650846 -10941.367108 14672.213549 -10712.497287 -1146.226758 72726.698032 499.932090 820.420612 5.099304 5.099304 5.099304 717.700990
1010.000000 1010.000000 1010000.000000 2491.203500 26029.013364 42547.355408 10345.982653 0.000000 -6986.741101 -10970.615778 14696.228454 -10712.353776 -1138.488868 71935.612416 505.734740 69.166344 5.110831 5.110831 5.110831 712.855980
1020.000000 1020.000000 1020000.000000 2515.806100 26936.679864 42328.682832 10458.344391 0.000000 -6303.319846 -10343.142972 14751.882766 -10712.059641 -1118.808253 73420.384312 500.332160 795.920541 5.140624 5.140624 5.140624 700.533110
1030.000000 1030.000000 1030000.000000 2540.467100 26686.442774 42392.903048 10296.710195 0.000000 -6817.627586 -10673.771020 14568.417714 -10712.274698 -1129.955684 72558.430104 502.049540 -1000.552427 5.123664 5.123664 5.123664 707.512970
1040.000000 1040.000000 1040000.000000 2565.154300 26352.471710 42216.660416 10540.730698 0.000000 -6342.706767 -10342.567254 14712.205058 -10712.344571 -1122.123027 72767.157312 506.220440 203.273777 5.135557 5.135557 5.135557 702.608620
