# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
     327           326              0.2103861631E+02  0.2097427803E+02   0.6858588916E+04   2610000
     328           327              0.2104039480E+02  0.2097624725E+02   0.6880209098E+04   2595000
     329           328              0.2104218314E+02  0.2097822513E+02   0.6901836069E+04   2580000
     330           329              0.2104400069E+02  0.2098023099E+02   0.6923476227E+04   2565000
     331           330              0.2104582648E+02  0.2098224392E+02   0.6945122739E+04   2550000
     332           331              0.2104768053E+02  0.2098428390E+02   0.6966782256E+04   2535000
     333           332              0.2104953606E+02  0.2098632424E+02   0.6988445972E+04   2520000
     334           333              0.2105141710E+02  0.2098838891E+02   0.7010121895E+04   2505000
     335           334              0.2105332882E+02  0.2099048306E+02   0.7031811825E+04   2490000
     336           335              0.2105521649E+02  0.2099255215E+02   0.7053497523E+04   2475000
     337           336              0.2105714166E+02  0.2099465756E+02   0.7075199599E+04   2460000
     338           337              0.2105909410E+02  0.2099678909E+02   0.7096914713E+04   2445000
     339           338              0.2106106894E+02  0.2099894189E+02   0.7118641302E+04   2430000
     340           339              0.2106303872E+02  0.2100108860E+02   0.7140370125E+04   2415000
     341           340              0.2106499931E+02  0.2100322512E+02   0.7162099765E+04   2400000
     342           341              0.2106698516E+02  0.2100538579E+02   0.7183841941E+04   2385000
     343           342              0.2106895527E+02  0.2100752974E+02   0.7205582702E+04   2370000
     344           343              0.2107097163E+02  0.2100971880E+02   0.7227343268E+04   2355000
     345           344              0.2107298586E+02  0.2101190474E+02   0.7249107134E+04   2340000
     346           345              0.2107503598E+02  0.2101412547E+02   0.7270887414E+04   2325000
     347           346              0.2107712004E+02  0.2101637906E+02   0.7292683532E+04   2310000
     348           347              0.2107923857E+02  0.2101866604E+02   0.7314495782E+04   2295000
     349           348              0.2108140579E+02  0.2102100061E+02   0.7336329213E+04   2280000
